STATE,zipcode,N1,A02650
AL,35004,1510,19780
AL,35004,1280,48168
AL,35004,920,57275
AL,35004,630,55041
AL,35004,590,75493
AL,35004,50,16122
AL,35005,1360,18606
AL,35005,1030,37327
AL,35005,460,28046
AL,35005,220,19188
AL,35005,180,24501
AL,35005,0,0
AL,35006,460,5939
AL,35006,320,11707
AL,35006,190,11916
AL,35006,130,11169
AL,35006,150,19586
AL,35006,0,0
AL,35007,4180,51015
AL,35007,2640,98431
AL,35007,1870,116842
AL,35007,1410,123938
AL,35007,1700,223459
AL,35007,220,72931
AL,35010,3850,51289
AL,35010,2130,74768
AL,35010,890,55002
AL,35010,560,48623
AL,35010,540,71001
AL,35010,150,65935
AL,35014,670,9147
AL,35014,480,17196
AL,35014,210,12645
AL,35014,150,12742
AL,35014,140,21444
AL,35014,0,0
AL,35016,2870,35764
AL,35016,1640,60298
AL,35016,1030,64118
AL,35016,670,57765
AL,35016,680,91004
AL,35016,100,32157
AL,35019,390,5285
AL,35019,260,9414
AL,35019,120,7428
AL,35019,70,5845
AL,35019,70,10135
AL,35019,0,0
AL,35020,6070,83030
AL,35020,2540,89470
AL,35020,710,43002
AL,35020,230,20023
AL,35020,170,24036
AL,35020,0,0
AL,35022,3240,42667
AL,35022,2270,84488
AL,35022,1520,94725
AL,35022,980,85791
AL,35022,1350,179136
AL,35022,180,52343
AL,35023,3730,50141
AL,35023,2830,103640
AL,35023,1530,94728
AL,35023,990,85325
AL,35023,960,122462
AL,35023,90,27703
AL,35031,1250,16424
AL,35031,820,29404
AL,35031,420,25994
AL,35031,200,17780
AL,35031,170,25809
AL,35031,0,0
AL,35033,500,6413
AL,35033,340,12555
AL,35033,210,12934
AL,35033,140,11960
AL,35033,130,18051
AL,35033,20,11714
AL,35034,730,10007
AL,35034,380,13645
AL,35034,150,8999
AL,35034,80,6691
AL,35034,90,15747
AL,35034,0,0
AL,35035,230,2845
AL,35035,130,4673
AL,35035,90,5323
AL,35035,40,3152
AL,35035,70,20482
AL,35035,0,0
AL,35040,2320,30848
AL,35040,1970,74029
AL,35040,1370,84520
AL,35040,800,70265
AL,35040,680,87106
AL,35040,60,29680
AL,35042,940,12573
AL,35042,580,20665
AL,35042,300,18704
AL,35042,190,16469
AL,35042,190,23800
AL,35042,20,6272
AL,35043,1200,13241
AL,35043,770,28874
AL,35043,650,41130
AL,35043,650,57708
AL,35043,1140,153752
AL,35043,210,72627
AL,35044,1510,19180
AL,35044,790,28217
AL,35044,420,25871
AL,35044,250,21831
AL,35044,190,25049
AL,35044,30,8207
AL,35045,2520,33205
AL,35045,1420,51200
AL,35045,750,46298
AL,35045,430,37218
AL,35045,420,53694
AL,35045,60,27525
AL,35046,960,12548
AL,35046,610,22339
AL,35046,350,21803
AL,35046,230,20211
AL,35046,240,31329
AL,35046,40,16733
AL,35049,540,7042
AL,35049,400,14768
AL,35049,250,15276
AL,35049,170,14504
AL,35049,150,20732
AL,35049,0,0
AL,35051,1360,17263
AL,35051,790,28443
AL,35051,430,26774
AL,35051,320,27748
AL,35051,390,52383
AL,35051,100,42980
AL,35053,330,4148
AL,35053,230,8608
AL,35053,150,9534
AL,35053,100,8467
AL,35053,110,14266
AL,35053,40,13295
AL,35054,620,7774
AL,35054,360,13376
AL,35054,240,14914
AL,35054,230,19673
AL,35054,250,33572
AL,35054,50,24970
AL,35055,3210,41033
AL,35055,2130,78102
AL,35055,1040,64736
AL,35055,640,55907
AL,35055,680,88370
AL,35055,170,63327
AL,35057,2060,26563
AL,35057,1330,48494
AL,35057,720,44623
AL,35057,470,40640
AL,35057,490,65371
AL,35057,90,32683
AL,35058,1720,22165
AL,35058,1110,40430
AL,35058,570,35400
AL,35058,390,33386
AL,35058,320,42052
AL,35058,90,33012
AL,35061,300,4307
AL,35061,180,6527
AL,35061,80,4720
AL,35061,30,2747
AL,35061,30,3754
AL,35061,0,0
AL,35062,1120,14334
AL,35062,780,28224
AL,35062,510,31777
AL,35062,380,33034
AL,35062,400,51418
AL,35062,40,14481
AL,35063,510,6495
AL,35063,350,12919
AL,35063,190,11348
AL,35063,90,8027
AL,35063,80,11004
AL,35063,0,0
AL,35064,2510,35452
AL,35064,1300,46547
AL,35064,460,28032
AL,35064,220,18699
AL,35064,210,29421
AL,35064,0,0
AL,35068,1200,16476
AL,35068,1170,43015
AL,35068,630,38673
AL,35068,320,27597
AL,35068,300,37401
AL,35068,30,13224
AL,35071,2310,29429
AL,35071,1780,66306
AL,35071,1150,71467
AL,35071,860,75281
AL,35071,1010,134202
AL,35071,170,53851
AL,35072,790,10732
AL,35072,570,20122
AL,35072,220,13302
AL,35072,140,11565
AL,35072,80,12096
AL,35072,0,0
AL,35073,410,5685
AL,35073,300,10902
AL,35073,140,8611
AL,35073,80,7254
AL,35073,50,6008
AL,35073,0,0
AL,35077,2220,28895
AL,35077,1420,51746
AL,35077,740,45694
AL,35077,410,35732
AL,35077,300,38291
AL,35077,30,13803
AL,35078,380,5173
AL,35078,240,8673
AL,35078,110,6790
AL,35078,80,7280
AL,35078,90,15370
AL,35078,0,0
AL,35079,1160,14717
AL,35079,850,31422
AL,35079,640,39355
AL,35079,440,38023
AL,35079,310,39550
AL,35079,30,10704
AL,35080,2000,23138
AL,35080,1380,51863
AL,35080,1200,75468
AL,35080,1070,93937
AL,35080,1540,205976
AL,35080,230,68632
AL,35083,490,6488
AL,35083,340,12637
AL,35083,150,9550
AL,35083,80,7294
AL,35083,90,14879
AL,35083,0,0
AL,35085,1440,19255
AL,35085,930,34045
