year,school,coach,conference,salary,season,wins,losses,ties,city_state,col_score,capacity,GSR
2018,Alabama,Nick Saban,SEC,11132000,2017,13,1,0,"Tuscaloosa, Alabama",95,101821,84
2018,Clemson,Dabo Swinney,ACC,8504600,2017,12,2,0,"Clemson, South Carolina",100,81500,85
2018,Michigan,Jim Harbaugh,Big Ten,7004000,2017,8,5,0,"Ann Arbor, Michigan",122,106201,82
2018,Ohio State,Urban Meyer,Big Ten,6431240,2017,12,2,0,"Columbus, Ohio",84,104944,69
2018,Arizona,Rich Rodriguez,Pac-12,5631563,2017,7,6,0,"Tucson, Arizona",95,57803,74
2018,Florida State,Jimbo Fisher,ACC,5700000,2017,7,6,0,"Tallahassee, Florida",95,82300,74
2018,Stanford,David Shaw,Pac-12,5680441,2017,9,5,0,"Stanford, California",615,50000,96
2018,Texas,Tom Herman,Big 12,5486316,2017,7,6,0,"Austin, Texas",117,100119,71
2018,Texas Christian,Gary Patterson,Big 12,5104077,2017,11,3,0,"Fort Worth, Texas",95,46000,73
2018,Texas A&M,Kevin Sumlin,SEC,5000000,2017,7,6,0,"College Station, Texas",97,83002,68
2018,Auburn,Gus Malzahn,SEC,4725000,2017,10,4,0,"Auburn, Alabama",104,87451,70
2018,Penn State,James Franklin,Big Ten,4600000,2017,11,2,0,"University Park, Pennsylvania",0,107282,84
2018,Iowa,Kirk Ferentz,Big Ten,4550000,2017,8,5,0,"Iowa City, Iowa",101,70585,76
2018,Mississippi State,Dan Mullen,SEC,4500000,2017,9,4,0,"Mississippi State, Mississippi",92,61337,84
2018,Florida,Jim McElwain,SEC,4457400,2017,4,7,0,"Gainesville, Florida",94,88548,74
2018,Michigan State,Mark Dantonio,Big Ten,4380492,2017,10,3,0,"East Lansing, Michigan",94,75005,72
2018,Arkansas,Bret Bielema,SEC,4200000,2017,4,8,0,"Fayetteville, Arkansas",91,72000,60
2018,Oklahoma State,Mike Gundy,Big 12,4200000,2017,10,3,0,"Stillwater, Oklahoma",88,60218,51
2018,Washington,Chris Petersen,Pac-12,4125000,2017,10,3,0,"Seattle, Washington",177,72500,81
2018,Tennessee,Butch Jones,SEC,4110000,2017,4,8,0,"Knoxville, Tennessee",81,102455,65
2018,Louisville,Bobby Petrino,ACC,3930434,2017,8,5,0,"Louisville, Kentucky",88,55000,76
2018,Kentucky,Mark Stoops,SEC,3750000,2017,7,6,0,"Lexington, Kentucky",0,67606,73
2018,Georgia,Kirby Smart,SEC,3753600,2017,13,2,0,"Athens, Georgia",0,92746,53
2018,Utah,Kyle Whittingham,Pac-12,3687917,2017,7,6,0,"Salt Lake City, Utah",108,45017,83
2018,UCLA,Jim Mora,Pac-12,3550000,2017,6,7,0,"Los Angeles, California",166,92542,83
2018,West Virginia,Dana Holgorsen,Big 12,3505000,2017,7,6,0,"Morgantown, West Virginia",96,60000,63
2018,Texas Tech,Kliff Kingsbury,Big 12,3503975,2017,6,7,0,"Lubbock, Texas",84,58930,70
2018,Minnesota,P.J. Fleck,Big Ten,3500000,2017,5,7,0,"Minneapolis, Minnesota",109,50000,83
2018,LSU,Ed Orgeron,SEC,3500000,2017,9,4,0,"Baton Rouge, Louisiana",87,92400,67
2018,Virginia,Bronco Mendenhall,ACC,3400000,2017,6,7,0,"Charlottesville, Virginia",113,61500,82
2018,Purdue,Jeff Brohm,Big Ten,3333333,2017,7,6,0,"West Lafayette, Indiana",96,62500,81
2018,Northwestern,Pat Fitzgerald,Big Ten,3305818,2017,10,3,0,"Evanston, Illinois",130,49256,99
2018,Virginia Tech,Justin Fuente,ACC,3250000,2017,9,4,0,"Blacksburg, Virginia",106,66233,86
2018,Arizona State,Todd Graham,Pac-12,3200000,2017,7,6,0,"Tempe, Arizona",109,71706,76
2018,Kansas State,Bill Snyder,Big 12,3200000,2017,8,5,0,"Manhattan, Kansas",99,50300,77
2018,Wisconsin,Paul Chryst,Big Ten,3200000,2017,13,1,0,"Madison, Wisconsin",110,80321,74
2018,South Carolina,Will Muschamp,SEC,3100000,2017,9,4,0,"Columbia, South Carolina",91,80250,98
2018,Washington State,Mike Leach,Pac-12,3075000,2017,9,4,0,"Pullman, Washington",112,35117,77
2018,Illinois,Lovie Smith,Big Ten,3000000,2017,2,10,0,"Champaign, Illinois",91,60670,77
2018,Georgia Tech,Paul Johnson,ACC,2970891,2017,5,6,0,"Atlanta, Georgia",102,55000,82
2018,Oregon,Willie Taggart,Pac-12,2900000,2017,7,6,0,"Eugene, Oregon",111,53800,67
2018,Nebraska,Mike Riley,Big Ten,2900000,2017,4,8,0,"Lincoln, Nebraska",92,81091,85
2018,Colorado,Mike MacIntyre,Pac-12,2803500,2017,5,7,0,"Boulder, Colorado",178,53613,79
2018,Vanderbilt,Derek Mason,SEC,2721834,2017,5,7,0,"Nashville, Tennessee",0,41448,90
2018,Oregon State,Gary Andersen,Pac-12,2650000,2017,1,11,0,"Corvallis, Oregon",126,46200,69
2018,Duke,David Cutcliffe,ACC,2613638,2017,7,6,0,"Durham, North Carolina",97,33941,96
2018,Maryland,DJ Durkin,Big Ten,2462000,2017,4,8,0,"College Park, Maryland",122,51500,79
2018,Boston College,Steve Addazio,ACC,2448949,2017,7,6,0,"Chestnut Hill, Massachusetts",0,44500,90
2018,Missouri,Barry Odom,SEC,2350000,2017,7,6,0,"Columbia, Missouri",93,71004,85
2018,North Carolina,Larry Fedora,ACC,2290000,2017,3,9,0,"Chapel Hill, North Carolina",131,63000,66
2018,North Carolina State,Dave Doeren,ACC,2212600,2017,9,4,0,"Raleigh, North Carolina",102,57583,74
2018,Oklahoma,Lincoln Riley,Big 12,2116666,2017,12,2,0,"Norman, Oklahoma",88,82112,72
2018,Rutgers,Chris Ash,Big Ten,2100000,2017,4,8,0,"Piscataway, New Jersey",126,52454,82
2018,Iowa State,Matt Campbell,Big 12,2100000,2017,8,5,0,"Ames, Iowa",99,55000,77
